Province,Year,registered_employment,region,n_projects,total_budget_sar,known_budget_count,total_area_sqm,known_area_count,at_risk_count,pct_projects,pct_budget,at_risk_rate,total_budget_sar_billion,new_projects_this_year,budget_started_this_year,active_projects,active_budget,completed_this_year,announced_projects,announced_budget,sector_hhi,real_estate_growth,real_estate_vs_own_2023,Population,is_population_extrapolated
Hail,2023,170843.0,Hail,28,3929341786.0,23,3188304.0,16,7,3.35,0.2,25.0,3.93,0.0,0.0,16,2530374725.0,0.0,8,798500000.0,0.23009495982468958,1.075,1.00025,759293.2244050669,True
Hail,2024,197290.0,Hail,28,3929341786.0,23,3188304.0,16,7,3.35,0.2,25.0,3.93,0.0,0.0,16,2530374725.0,0.0,8,798500000.0,0.23009495982468958,0.925,1.008675,772402.9558007885,True
Hail,2025,207995.0,Hail,28,3929341786.0,23,3188304.0,16,7,3.35,0.2,25.0,3.93,0.0,0.0,16,2530374725.0,0.0,8,798500000.0,0.23009495982468958,-2.3,0.9844750000000001,785739.0359268081,True
Jazan,2017,194215.0,Jazan,34,174430992731.0,28,134974353.0,19,7,4.3,9.28,20.59,174.43,0.0,0.0,30,171491492731.0,7.0,9,148478157.0,0.1921475312314099,,,1326914.0,False
Jazan,2018,180874.0,Jazan,36,191180992731.0,30,142434353.0,21,7,4.38,10.04,19.44,191.18,2.0,16750000000.0,25,186240923698.0,2.0,9,148478157.0,0.1995673336938886,,,1310678.0,False
Jazan,2019,175002.0,Jazan,36,191180992731.0,30,142434353.0,21,7,4.31,9.94,19.44,191.18,0.0,0.0,23,147760054048.0,2.0,9,148478157.0,0.1995673336938886,,,1315117.0,False
Jazan,2020,187407.0,Jazan,36,191180992731.0,30,142434353.0,21,7,4.3,9.94,19.44,191.18,0.0,0.0,21,120760054048.0,0.0,9,148478157.0,0.1995673336938886,,,1370141.0,False
Jazan,2021,186509.0,Jazan,36,191180992731.0,30,142434353.0,21,7,4.3,9.94,19.44,191.18,0.0,0.0,21,120760054048.0,0.0,9,148478157.0,0.1995673336938886,,0.959075,1355099.0,False
Jazan,2022,210873.0,Jazan,36,191180992731.0,30,142434353.0,21,7,4.3,9.94,19.44,191.18,0.0,0.0,21,120760054048.0,1.0,9,148478157.0,0.1995673336938886,0.5,0.96375,1404997.0,False
Jazan,2023,219093.0,Jazan,36,191180992731.0,30,142434353.0,21,7,4.3,9.94,19.44,191.18,0.0,0.0,20,118260054048.0,0.0,9,148478157.0,0.1995673336938886,3.8,1.0001,1421529.4536138964,True
Jazan,2024,238261.0,Jazan,36,191180992731.0,30,142434353.0,21,7,4.3,9.94,19.44,191.18,0.0,0.0,20,118260054048.0,0.0,9,148478157.0,0.1995673336938886,1.3750000000000002,1.0134,1438256.4428904995,True
